Time,Distance,RPM
0.000,0.000,6434.500000
0.100,0.004,6405.700195
0.200,0.009,6370.700195
0.300,0.014,5797.000000
0.400,0.018,5424.100098
0.500,0.023,5301.500000
0.600,0.027,5251.299805
0.700,0.032,5329.100098
0.800,0.037,5357.600098
0.900,0.041,5366.100098
1.000,0.046,5397.700195
1.100,0.051,5431.540039
1.200,0.055,5442.759766
1.300,0.060,5499.290039
1.400,0.065,5482.000000
1.500,0.070,5488.390137
1.600,0.075,5553.629883
1.700,0.080,5560.000000
1.800,0.084,5567.830078
1.900,0.089,5644.569824
2.000,0.094,5624.859863
2.100,0.099,5681.560059
2.200,0.104,5750.439941
2.300,0.109,5681.560059
2.400,0.114,5768.439941
2.500,0.119,5866.799805
2.600,0.124,5793.370117
2.700,0.129,5792.129883
2.800,0.134,5849.310059
2.900,0.140,5902.370117
3.000,0.145,5898.700195
3.100,0.150,5926.000000
3.200,0.155,5929.600098
3.300,0.160,5971.000000
3.400,0.166,5972.839844
3.500,0.171,6009.200195
3.600,0.176,6167.520020
3.700,0.181,5986.080078
3.800,0.187,6082.839844
3.900,0.192,6125.720215
4.000,0.197,6112.919922
4.100,0.203,6137.560059
4.200,0.208,6169.000000
4.300,0.214,6191.359863
4.400,0.219,6188.560059
4.500,0.225,6243.720215
4.600,0.230,6245.240234
4.700,0.236,5931.399902
4.800,0.241,6240.560059
4.900,0.247,6032.080078
5.000,0.252,5925.240234
5.100,0.258,5733.040039
5.200,0.264,5599.580078
5.300,0.269,5496.100098
5.400,0.274,5424.910156
5.500,0.280,5333.290039
5.600,0.285,5180.779785
5.700,0.290,5041.640137
5.800,0.296,5052.790039
5.900,0.301,5808.490234
6.000,0.306,5990.009766
6.100,0.310,5836.020020
6.200,0.315,5732.450195
6.300,0.320,5749.740234
6.400,0.324,5544.270020
6.500,0.329,5497.850098
6.600,0.333,5367.339844
6.700,0.337,5410.580078
6.800,0.342,5224.390137
6.900,0.346,5285.430176
7.000,0.350,5135.410156
7.100,0.354,5005.759766
7.200,0.358,4970.359863
7.300,0.362,4878.399902
7.400,0.365,4825.899902
7.500,0.369,4879.259766
7.600,0.373,4760.339844
7.700,0.377,4794.959961
7.800,0.380,4761.859863
7.900,0.384,4746.879883
8.000,0.387,4793.200195
8.100,0.391,4811.700195
8.200,0.395,4810.600098
8.300,0.398,4865.799805
8.400,0.402,4848.799805
8.500,0.405,4876.399902
8.600,0.408,4865.200195
8.700,0.412,4837.299805
8.800,0.415,4842.299805
8.900,0.419,4846.100098
9.000,0.422,4832.000000
9.100,0.426,4831.700195
9.200,0.429,4826.700195
9.300,0.433,4822.000000
9.400,0.436,4824.250000
9.500,0.440,4868.549805
9.600,0.443,4897.450195
9.700,0.447,4889.100098
9.800,0.450,4932.149902
9.900,0.454,4990.899902
10.000,0.457,4976.250000
10.100,0.461,5091.950195
10.200,0.464,5039.000000
10.300,0.468,5131.200195
10.400,0.471,5079.100098
10.500,0.475,5102.250000
10.600,0.478,5146.149902
10.700,0.482,5171.450195
10.800,0.485,5237.299805
10.900,0.489,5245.350098
11.000,0.493,5292.399902
11.100,0.496,5339.250000
11.200,0.500,5363.000000
11.300,0.504,5366.399902
11.400,0.508,5432.279785
11.500,0.511,5464.520020
11.600,0.515,5503.080078
11.700,0.519,5553.799805
11.800,0.523,5574.080078
11.900,0.527,5602.160156
12.000,0.531,5655.080078
12.100,0.535,5683.799805
12.200,0.539,5751.000000
12.300,0.543,5752.720215
12.400,0.547,5795.120117
12.500,0.551,5823.479980
12.600,0.555,5861.680176
12.700,0.559,5927.799805
12.800,0.564,5972.200195
12.900,0.568,6005.399902
13.000,0.572,6110.359863
13.100,0.576,6096.279785
13.200,0.581,6130.919922
13.300,0.585,6207.479980
13.400,0.589,5769.450195
13.500,0.594,5191.049805
13.600,0.598,4839.430176
13.700,0.602,4919.410156
13.800,0.607,4965.000000
13.900,0.611,4964.520020
14.000,0.616,4949.330078
14.100,0.620,4958.439941
14.200,0.625,4908.629883
14.300,0.629,4928.370117
14.400,0.633,4907.549805
14.500,0.638,4893.450195
14.600,0.642,4907.549805
14.700,0.646,4893.149902
14.800,0.651,4897.220215
14.900,0.655,4872.299805
15.000,0.660,4881.700195
15.100,0.664,4873.859863
15.200,0.668,4933.370117
15.300,0.673,4912.399902
15.400,0.677,4893.750000
15.500,0.681,4918.620117
15.600,0.685,4948.379883
15.700,0.690,4918.740234
15.800,0.694,4955.000000
15.900,0.698,4955.200195
16.000,0.703,4965.540039
16.100,0.707,4991.459961
16.200,0.711,4959.720215
16.300,0.716,4702.060059
16.400,0.720,4752.479980
16.500,0.724,4674.839844
16.600,0.729,4518.620117
16.700,0.733,4449.660156
16.800,0.737,4384.180176
16.900,0.742,4390.600098
17.000,0.746,4270.939941
17.100,0.750,4178.600098
17.200,0.754,4608.259766
17.300,0.758,5009.379883
17.400,0.762,4830.439941
17.500,0.766,4752.640137
17.600,0.770,4617.189941
17.700,0.774,4535.930176
17.800,0.777,4428.229980
17.900,0.781,4253.000000
18.000,0.784,4250.839844
18.100,0.788,4036.790039
18.200,0.791,4014.800049
18.300,0.795,3895.899902
18.400,0.798,3885.399902
18.500,0.801,3825.629883
18.600,0.804,3788.790039
18.700,0.807,3767.340088
18.800,0.810,3701.340088
18.900,0.812,3635.860107
19.000,0.815,3621.479980
19.100,0.818,3569.669922
19.200,0.821,3536.610107
19.300,0.823,3497.939941
19.400,0.826,3491.639893
19.500,0.829,3455.979980
19.600,0.831,3454.000000
19.700,0.834,3449.000000
19.800,0.836,3287.000000
19.900,0.839,3404.000000
20.000,0.842,3336.000000
20.100,0.844,3329.000000
20.200,0.847,3312.000000
20.300,0.849,3326.000000
20.400,0.852,3426.000000
20.500,0.854,3394.000000
20.600,0.856,3389.000000
20.700,0.859,3404.000000
20.800,0.861,3377.000000
20.900,0.864,3434.000000
21.000,0.866,3394.000000
21.100,0.868,3434.000000
21.200,0.871,3444.000000
21.300,0.873,3424.000000
21.400,0.876,3429.000000
21.500,0.878,3479.000000
21.600,0.880,3441.379883
