Time,Distance,LongAcc,LatAcc
0.000,0.000,0.221221,-0.031755
0.100,0.004,0.195381,-0.057449
0.200,0.009,0.233579,-0.065090
0.300,0.013,0.268200,-0.033072
0.400,0.018,0.206743,0.000798
0.500,0.022,0.070895,0.000692
0.600,0.027,-0.001797,0.000616
0.700,0.032,0.058238,0.014919
0.800,0.036,0.138059,-0.000733
0.900,0.041,0.149148,-0.040177
1.000,0.046,0.167418,-0.048638
1.100,0.050,0.231236,-0.024962
1.200,0.055,0.250271,-0.009002
1.300,0.060,0.214694,-0.011685
1.400,0.065,0.205383,-0.015544
1.500,0.070,0.221245,-0.010505
1.600,0.074,0.216386,-0.004989
1.700,0.079,0.192676,-0.006315
1.800,0.084,0.173134,-0.013524
1.900,0.089,0.180172,-0.031668
2.000,0.094,0.213209,-0.053167
2.100,0.099,0.239463,-0.046257
2.200,0.104,0.240114,-0.009504
2.300,0.109,0.219896,0.019348
2.400,0.114,0.200281,0.024202
2.500,0.119,0.209895,0.016760
2.600,0.124,0.228635,0.006149
2.700,0.130,0.219666,0.008069
2.800,0.135,0.215769,0.022407
2.900,0.140,0.253223,0.019225
3.000,0.145,0.286619,-0.001245
3.100,0.150,0.268936,-0.011477
3.200,0.156,0.219325,-0.019202
3.300,0.161,0.170605,-0.048689
3.400,0.166,0.147931,-0.094316
3.500,0.172,0.161243,-0.126406
3.600,0.177,0.178865,-0.133821
3.700,0.182,0.183296,-0.142628
3.800,0.188,0.191944,-0.153636
3.900,0.193,0.183942,-0.133351
4.000,0.199,0.145773,-0.097605
4.100,0.204,0.125865,-0.081333
4.200,0.210,0.138222,-0.070738
4.300,0.215,0.146278,-0.062262
4.400,0.221,0.137466,-0.077367
4.500,0.226,0.115925,-0.103029
4.600,0.232,0.104606,-0.119321
4.700,0.237,0.147000,-0.134233
4.800,0.243,0.207361,-0.145664
4.900,0.249,0.123137,-0.142905
5.000,0.254,-0.216127,-0.132490
5.100,0.260,-0.657962,-0.106421
5.200,0.266,-0.931270,-0.046202
5.300,0.271,-0.990557,0.017960
5.400,0.277,-0.975284,0.034611
5.500,0.283,-0.977834,0.017054
5.600,0.288,-0.968850,0.015254
5.700,0.294,-0.897304,0.034343
5.800,0.299,-0.818108,0.040549
5.900,0.305,-0.883802,0.010930
6.000,0.310,-1.105273,-0.058768
6.100,0.315,-1.252810,-0.152357
6.200,0.320,-1.159555,-0.240217
6.300,0.325,-0.940064,-0.331397
6.400,0.330,-0.781035,-0.459365
6.500,0.335,-0.712815,-0.602181
6.600,0.339,-0.651786,-0.722134
6.700,0.344,-0.517537,-0.843383
6.800,0.348,-0.316091,-0.975508
6.900,0.352,-0.153012,-1.074902
7.000,0.357,-0.115456,-1.119741
7.100,0.361,-0.159731,-1.145337
7.200,0.365,-0.180259,-1.191035
7.300,0.369,-0.145504,-1.255141
7.400,0.373,-0.096248,-1.309516
7.500,0.377,-0.066366,-1.335195
7.600,0.381,-0.061575,-1.324881
7.700,0.385,-0.046513,-1.292418
7.800,0.389,0.006229,-1.294057
7.900,0.393,0.029689,-1.355138
8.000,0.396,-0.018613,-1.400639
8.100,0.400,-0.033871,-1.383742
8.200,0.404,0.042371,-1.377522
8.300,0.408,0.102131,-1.409328
8.400,0.411,0.061197,-1.400951
8.500,0.415,-0.016889,-1.348882
8.600,0.419,-0.026429,-1.332348
8.700,0.422,0.062904,-1.369120
8.800,0.426,0.178818,-1.417474
8.900,0.429,0.229091,-1.420951
9.000,0.433,0.216760,-1.351858
9.100,0.437,0.212825,-1.289982
9.200,0.440,0.242870,-1.327505
9.300,0.443,0.275485,-1.407657
9.400,0.447,0.286508,-1.425034
9.500,0.450,0.290768,-1.391330
9.600,0.454,0.322264,-1.374836
9.700,0.457,0.383404,-1.385595
9.800,0.461,0.436453,-1.383621
9.900,0.464,0.464437,-1.355372
10.000,0.468,0.482613,-1.316106
10.100,0.471,0.486313,-1.246114
10.200,0.475,0.462035,-1.134745
10.300,0.478,0.439695,-1.054604
10.400,0.481,0.465099,-1.062140
10.500,0.485,0.519645,-1.118796
10.600,0.489,0.537605,-1.169159
10.700,0.492,0.517791,-1.168921
10.800,0.496,0.508883,-1.086133
10.900,0.499,0.507973,-0.986450
11.000,0.503,0.504776,-0.990775
11.100,0.507,0.510795,-1.059211
11.200,0.510,0.489234,-0.994774
11.300,0.514,0.430361,-0.759255
11.400,0.518,0.405239,-0.565703
11.500,0.522,0.414308,-0.527551
11.600,0.525,0.383188,-0.497235
11.700,0.529,0.319665,-0.359100
11.800,0.533,0.281160,-0.191245
11.900,0.537,0.275344,-0.072195
12.000,0.541,0.292808,0.020536
12.100,0.545,0.319358,0.100917
12.200,0.549,0.311492,0.145849
12.300,0.553,0.266894,0.151515
12.400,0.557,0.243276,0.131188
12.500,0.561,0.249825,0.111734
12.600,0.565,0.260054,0.126288
12.700,0.570,0.281595,0.163703
12.800,0.574,0.264241,0.170664
12.900,0.578,0.145135,0.113832
13.000,0.582,0.049682,-0.013284
13.100,0.587,0.123196,-0.211211
13.200,0.591,0.252168,-0.460154
13.300,0.596,0.282467,-0.705457
13.400,0.600,0.274976,-0.883290
13.500,0.604,0.309455,-0.978865
13.600,0.609,0.329778,-1.037992
13.700,0.613,0.303563,-1.087653
13.800,0.618,0.282583,-1.112956
13.900,0.622,0.287139,-1.130665
14.000,0.626,0.289092,-1.155518
14.100,0.631,0.264944,-1.151341
14.200,0.635,0.222851,-1.157287
14.300,0.640,0.209908,-1.269864
14.400,0.644,0.231740,-1.414894
14.500,0.649,0.225123,-1.433911
14.600,0.653,0.190525,-1.381314
14.700,0.658,0.184952,-1.413310
14.800,0.662,0.197548,-1.488637
14.900,0.667,0.199188,-1.482176
15.000,0.671,0.182263,-1.430102
15.100,0.676,0.138802,-1.404276
15.200,0.680,0.130937,-1.356028
15.300,0.684,0.204043,-1.266149
15.400,0.689,0.242136,-1.219095
15.500,0.693,0.185988,-1.245052
15.600,0.698,0.170670,-1.279926
15.700,0.702,0.247608,-1.267032
15.800,0.706,0.294435,-1.209133
15.900,0.711,0.276989,-1.136889
16.000,0.715,0.276463,-1.075692
16.100,0.720,0.323536,-1.048055
16.200,0.724,0.357677,-1.067053
16.300,0.728,0.252614,-1.087440
16.400,0.733,-0.042020,-1.017450
16.500,0.737,-0.374870,-0.831945
16.600,0.742,-0.575282,-0.615634
16.700,0.746,-0.631357,-0.465753
16.800,0.751,-0.616111,-0.403821
16.900,0.755,-0.630151,-0.379961
17.000,0.759,-0.734402,-0.330011
17.100,0.764,-0.844297,-0.248987
17.200,0.768,-0.865191,-0.188213
17.300,0.772,-0.858621,-0.147314
17.400,0.776,-0.891478,-0.054847
17.500,0.780,-0.931234,0.096556
17.600,0.784,-0.988888,0.231824
17.700,0.788,-1.113384,0.329992
17.800,0.792,-1.249414,0.431374
17.900,0.795,-1.295060,0.542786
18.000,0.799,-1.234285,0.646226
18.100,0.803,-1.120048,0.730922
18.200,0.806,-0.996912,0.779603
18.300,0.809,-0.891044,0.795073
18.400,0.813,-0.826671,0.819745
18.500,0.816,-0.784280,0.871929
18.600,0.819,-0.681414,0.911021
18.700,0.822,-0.527149,0.906123
18.800,0.825,-0.466853,0.886863
18.900,0.827,-0.568450,0.904702
19.000,0.830,-0.722729,0.980277
19.100,0.833,-0.786024,1.081227
19.200,0.835,-0.706770,1.167507
19.300,0.838,-0.546431,1.253250
19.400,0.840,-0.417781,1.342035
19.500,0.843,-0.365422,1.377968
19.600,0.845,-0.328323,1.356938
19.700,0.847,-0.248542,1.354480
19.800,0.850,-0.159779,1.403682
19.900,0.852,-0.124513,1.443977
20.000,0.854,-0.162985,1.383463
20.100,0.856,-0.243131,1.242929
20.200,0.859,-0.304358,1.197643
20.300,0.861,-0.312635,1.338406
20.400,0.863,-0.278126,1.480248
20.500,0.866,-0.212287,1.412661
20.600,0.868,-0.150588,1.240988
20.700,0.870,-0.145709,1.216668
20.800,0.872,-0.172134,1.323820
20.900,0.875,-0.159694,1.364775
21.000,0.877,-0.104621,1.322719
21.100,0.879,-0.053227,1.304598
21.200,0.882,-0.032467,1.308903
21.300,0.884,-0.024395,1.287799
21.400,0.886,0.010376,1.254880
21.500,0.888,0.081409,1.227971
21.600,0.891,0.158816,1.179901
21.700,0.893,0.218310,1.097293
21.800,0.896,0.257194,1.025017
21.900,0.898,0.262116,0.999017
22.000,0.900,0.218571,0.991334
22.100,0.903,0.170105,0.974462
22.200,0.905,0.184860,0.962293
22.300,0.908,0.250266,0.971810
22.400,0.910,0.287955,1.006335
22.500,0.913,0.268603,1.043773
22.600,0.915,0.247892,1.040575
22.700,0.918,0.269552,0.976245
22.800,0.921,0.300743,0.840937
22.900,0.924,0.327076,0.644953
23.000,0.926,0.382367,0.476777
23.100,0.929,0.415483,0.406502
23.200,0.932,0.350806,0.370386
23.300,0.935,0.271776,0.309140
23.400,0.938,0.299877,0.262952
23.500,0.941,0.361148,0.240476
23.600,0.944,0.286046,0.204886
23.700,0.947,0.103830,0.181853
23.800,0.950,0.021263,0.214809
23.900,0.953,0.090171,0.285612
24.000,0.957,0.167820,0.371068
24.100,0.960,0.178518,0.497534
24.200,0.963,0.149492,0.674309
24.300,0.966,0.122929,0.842575
24.400,0.970,0.142649,0.936972
24.500,0.973,0.179494,0.965275
24.600,0.976,0.167769,0.962777
24.700,0.980,0.132270,0.956940
24.800,0.983,0.117321,0.980263
24.900,0.987,0.100545,1.040028
25.000,0.990,0.066007,1.092464
25.100,0.994,0.044668,1.099557
25.200,0.997,0.073708,1.102840
25.300,1.001,0.137495,1.169822
25.400,1.005,0.160051,1.261086
25.500,1.008,0.110236,1.269742
25.600,1.012,0.069676,1.188641
25.700,1.016,0.113741,1.112933
25.800,1.019,0.187447,1.116312
25.900,1.023,0.183010,1.167170
26.000,1.027,0.114975,1.175553
26.100,1.031,0.083373,1.124862
26.200,1.034,0.102218,1.080607
26.300,1.038,0.114084,1.063170
26.400,1.042,0.106675,1.049309
26.500,1.046,0.088267,1.052808
26.600,1.050,0.049959,1.089105
26.700,1.054,0.021531,1.142413
26.800,1.058,0.040788,1.171852
26.900,1.062,0.070934,1.114732
27.000,1.066,0.068441,1.003223
27.100,1.070,0.054521,0.993431
27.200,1.075,0.049222,1.107624
27.300,1.079,0.056540,1.173071
27.400,1.083,0.083707,1.130313
27.500,1.087,0.089484,1.095356
