Time,Distance,RPM
0.000,0.000,6384.959961
0.100,0.004,6453.660156
0.200,0.009,6461.040039
0.300,0.013,6455.240234
0.400,0.018,6203.839844
0.500,0.022,5783.080078
0.600,0.027,5502.779785
0.700,0.032,5332.740234
0.800,0.036,5372.120117
0.900,0.041,5384.379883
1.000,0.045,5410.120117
1.100,0.050,5457.819824
1.200,0.055,5466.379883
1.300,0.060,5496.020020
1.400,0.064,5553.000000
1.500,0.069,5558.200195
1.600,0.074,5592.240234
1.700,0.079,5641.799805
1.800,0.084,5627.000000
1.900,0.089,5668.600098
2.000,0.093,5764.899902
2.100,0.098,5707.459961
2.200,0.103,5773.759766
2.300,0.108,5856.459961
2.400,0.113,5739.509766
2.500,0.119,5858.180176
2.600,0.124,5933.859863
2.700,0.129,5869.950195
2.800,0.134,5878.979980
2.900,0.139,5931.109863
3.000,0.144,5935.990234
3.100,0.149,5977.580078
3.200,0.154,6010.790039
3.300,0.160,6025.589844
3.400,0.165,6096.149902
3.500,0.170,6060.049805
3.600,0.176,6126.080078
3.700,0.181,6224.240234
3.800,0.186,6102.120117
3.900,0.192,6178.640137
4.000,0.197,6248.000000
4.100,0.203,6186.069824
4.200,0.208,6225.180176
4.300,0.213,6261.069824
4.400,0.219,6286.680176
4.500,0.224,6288.500000
4.600,0.230,6219.160156
4.700,0.236,5991.859863
4.800,0.241,6118.870117
4.900,0.247,5961.799805
5.000,0.252,5766.330078
5.100,0.258,5683.500000
5.200,0.264,5472.109863
5.300,0.269,5384.009766
5.400,0.275,5363.479980
5.500,0.280,5369.390137
5.600,0.285,5313.970215
5.700,0.291,5211.740234
5.800,0.296,5123.149902
5.900,0.301,5113.069824
6.000,0.306,5110.939941
6.100,0.310,5656.870117
6.200,0.315,6140.430176
6.300,0.320,5755.439941
6.400,0.325,5778.399902
6.500,0.329,5519.479980
6.600,0.334,5534.240234
6.700,0.338,5423.959961
6.800,0.342,5343.279785
6.900,0.346,5291.479980
7.000,0.351,5212.040039
7.100,0.355,5099.919922
7.200,0.359,5036.399902
7.300,0.363,4978.720215
7.400,0.367,4932.560059
7.500,0.370,4832.879883
7.600,0.374,4722.439941
7.700,0.378,4607.200195
7.800,0.382,4543.479980
7.900,0.385,4537.000000
8.000,0.389,4529.720215
8.100,0.393,4514.640137
8.200,0.396,4507.200195
8.300,0.399,4461.479980
8.400,0.403,4564.759766
8.500,0.406,4785.399902
8.600,0.410,4647.720215
8.700,0.413,4710.240234
8.800,0.416,4728.680176
8.900,0.420,4709.680176
9.000,0.423,4700.200195
9.100,0.426,4701.759766
9.200,0.430,4684.439941
9.300,0.433,4706.319824
9.400,0.436,4720.000000
9.500,0.440,4721.399902
9.600,0.443,4728.919922
9.700,0.447,4756.640137
9.800,0.450,4809.000000
9.900,0.453,4839.600098
10.000,0.457,4893.560059
10.100,0.460,4953.479980
10.200,0.464,4970.879883
10.300,0.467,5013.439941
10.400,0.470,5037.520020
10.500,0.474,4913.799805
10.600,0.477,4913.080078
10.700,0.481,4945.089844
10.800,0.484,4984.649902
