Time,Distance,GPS_Speed
0.000,0.000,160.210007
0.100,0.004,161.339996
0.200,0.009,162.710007
0.300,0.014,163.819992
0.400,0.018,165.010010
0.500,0.023,166.080002
0.600,0.027,166.860001
0.700,0.032,167.470001
0.800,0.037,168.139999
0.900,0.041,168.559998
1.000,0.046,169.160004
1.100,0.051,169.763000
1.200,0.055,170.472015
1.300,0.060,171.280991
1.400,0.065,172.181000
1.500,0.070,173.072006
1.600,0.075,173.872009
1.700,0.080,174.672012
1.800,0.084,175.472015
1.900,0.089,176.272003
2.000,0.094,177.072006
2.100,0.099,177.863007
2.200,0.104,178.580994
2.300,0.109,179.481003
2.400,0.114,180.380997
2.500,0.119,181.280991
2.600,0.124,182.172012
2.700,0.129,182.981003
2.800,0.134,183.889999
2.900,0.140,184.880997
3.000,0.145,185.780991
3.100,0.150,186.656006
3.200,0.155,187.372009
3.300,0.160,188.263992
3.400,0.166,189.063995
3.500,0.171,189.863998
3.600,0.176,190.664001
3.700,0.181,191.464005
3.800,0.187,192.263992
3.900,0.192,193.063995
4.000,0.197,193.863998
4.100,0.203,194.656006
4.200,0.208,195.356003
4.300,0.214,196.056000
4.400,0.219,196.755997
4.500,0.225,197.464005
4.600,0.230,198.263992
4.700,0.236,199.039993
4.800,0.241,199.556000
4.900,0.247,200.231995
5.000,0.252,200.584000
5.100,0.258,200.392014
5.200,0.264,200.201996
5.300,0.269,198.753006
5.400,0.274,196.632004
5.500,0.280,194.211014
5.600,0.285,191.447998
5.700,0.290,187.876007
5.800,0.296,184.648010
5.900,0.301,181.048004
6.000,0.306,177.461990
6.100,0.310,174.055008
6.200,0.315,170.569000
6.300,0.320,167.268997
6.400,0.324,163.968994
6.500,0.329,160.676010
6.600,0.333,157.483002
6.700,0.337,154.404007
6.800,0.342,151.611008
6.900,0.346,148.925003
7.000,0.350,146.432007
7.100,0.354,144.059998
7.200,0.358,142.074005
7.300,0.362,139.986008
7.400,0.365,138.091995
7.500,0.369,136.292007
7.600,0.373,134.504013
7.700,0.377,132.904007
7.800,0.380,131.310013
7.900,0.384,129.822006
8.000,0.387,128.528000
8.100,0.391,127.340004
8.200,0.395,126.358002
8.300,0.398,125.664001
8.400,0.402,125.075996
8.500,0.405,124.694008
8.600,0.408,124.605995
8.700,0.412,124.706001
8.800,0.415,124.818001
8.900,0.419,125.117996
9.000,0.422,125.405998
9.100,0.426,125.517998
9.200,0.429,125.794006
9.300,0.433,125.690002
9.400,0.436,125.495003
9.500,0.440,125.395004
9.600,0.443,125.285004
9.700,0.447,125.004997
9.800,0.450,125.104996
9.900,0.454,125.210007
10.000,0.457,125.415001
10.100,0.461,125.720001
10.200,0.464,126.125000
10.300,0.468,126.629997
10.400,0.471,127.230003
10.500,0.475,127.835007
10.600,0.478,128.539993
10.700,0.482,129.339996
10.800,0.485,130.139999
10.900,0.489,130.945007
11.000,0.493,131.845001
11.100,0.496,132.739990
11.200,0.500,133.544998
11.300,0.504,134.450012
11.400,0.508,135.436005
11.500,0.511,136.344009
11.600,0.515,137.440002
11.700,0.519,138.444016
11.800,0.523,139.544006
11.900,0.527,140.644012
12.000,0.531,141.744003
12.100,0.535,142.844009
12.200,0.539,143.948013
12.300,0.543,145.152008
12.400,0.547,146.448013
12.500,0.551,147.652008
12.600,0.555,148.972015
12.700,0.559,150.744003
12.800,0.564,151.839996
12.900,0.568,152.835999
13.000,0.572,153.727997
13.100,0.576,154.428009
13.200,0.581,155.132004
13.300,0.585,155.932007
13.400,0.589,156.720993
13.500,0.594,157.415009
13.600,0.598,157.915009
13.700,0.602,158.406006
13.800,0.607,158.615005
13.900,0.611,159.112000
14.000,0.616,159.494003
14.100,0.620,159.276001
14.200,0.625,158.490997
14.300,0.629,158.196991
14.400,0.633,158.097000
14.500,0.638,157.994003
14.600,0.642,157.794006
14.700,0.646,157.591003
14.800,0.651,157.288010
14.900,0.655,156.888016
15.000,0.660,156.490997
15.100,0.664,156.184998
15.200,0.668,155.690994
15.300,0.673,155.394012
15.400,0.677,155.196991
15.500,0.681,155.101334
15.600,0.685,155.167999
15.700,0.690,155.234665
15.800,0.694,155.304001
15.900,0.698,155.505997
16.000,0.703,155.804001
16.100,0.707,156.005997
16.200,0.711,156.304001
16.300,0.716,156.507996
16.400,0.720,156.902008
16.500,0.724,156.996002
16.600,0.729,156.798004
16.700,0.733,156.679993
16.800,0.737,155.671997
16.900,0.742,154.268005
17.000,0.746,152.657990
17.100,0.750,150.544006
17.200,0.754,147.751999
17.300,0.758,145.350006
17.400,0.762,142.846008
17.500,0.766,140.175003
17.600,0.770,137.673996
17.700,0.774,135.073013
17.800,0.777,132.372009
17.900,0.781,129.570999
18.000,0.784,126.669006
18.100,0.788,123.568001
18.200,0.791,120.370003
18.300,0.795,117.367004
18.400,0.798,114.070000
18.500,0.801,111.073997
18.600,0.804,108.473000
18.700,0.807,105.780006
18.800,0.810,103.784004
18.900,0.812,102.184006
19.000,0.815,100.585999
19.100,0.818,99.192001
19.200,0.821,98.387001
19.300,0.823,97.088997
19.400,0.826,95.988998
19.500,0.829,94.889999
19.600,0.831,93.900002
19.700,0.834,93.099998
19.800,0.836,92.400002
19.900,0.839,91.800003
20.000,0.842,91.300003
20.100,0.844,90.599998
20.200,0.847,90.099998
20.300,0.849,89.300003
20.400,0.852,88.500000
20.500,0.854,87.700005
20.600,0.856,87.099998
20.700,0.859,86.500000
20.800,0.861,86.200005
20.900,0.864,86.250000
21.000,0.866,86.300003
21.100,0.868,86.400002
21.200,0.871,86.700005
21.300,0.873,86.900002
21.400,0.876,87.000000
21.500,0.878,87.099998
21.600,0.880,87.199005
21.700,0.883,87.249496
21.800,0.885,87.299500
