Time,Distance,GPS_Speed
0.000,0.000,0.000000
0.100,0.000,0.000000
0.200,0.000,0.000000
0.300,0.000,0.000000
0.400,0.000,0.000000
0.500,0.000,0.000000
0.600,0.000,0.000000
0.700,0.000,0.000000
0.800,0.000,0.000000
0.900,0.000,0.000000
1.000,0.000,0.000000
1.100,0.000,0.000000
1.200,0.000,0.000000
1.300,0.000,0.000000
1.400,0.000,0.000000
1.500,0.000,0.000000
1.600,0.000,0.000000
1.700,0.000,0.000000
1.800,0.000,0.000000
1.900,0.000,0.000000
2.000,0.000,0.000000
2.100,0.000,0.000000
2.200,0.000,0.000000
2.300,0.000,0.000000
2.400,0.000,0.000000
2.500,0.000,0.000000
2.600,0.000,0.000000
2.700,0.000,0.000000
2.800,0.000,0.000000
2.900,0.000,0.000000
3.000,0.000,0.000000
3.100,0.000,0.000000
3.200,0.000,0.000000
3.300,0.000,0.000000
3.400,0.000,0.000000
3.500,0.000,0.000000
3.600,0.000,0.000000
3.700,0.000,0.000000
3.800,0.000,0.000000
3.900,0.000,0.000000
4.000,0.000,0.000000
4.100,0.000,0.000000
4.200,0.000,0.000000
4.300,0.000,0.000000
4.400,0.000,0.000000
4.500,0.000,0.003000
4.600,0.000,0.099250
4.700,0.000,0.074250
4.800,0.000,0.049250
4.900,0.000,0.024250
5.000,0.000,0.000000
5.100,0.000,0.000000
5.200,0.000,0.000000
5.300,0.000,0.000000
5.400,0.000,0.003000
5.500,0.000,0.100500
5.600,0.000,0.117167
5.700,0.000,0.133833
5.800,0.000,0.150500
5.900,0.000,0.167167
6.000,0.000,0.183833
6.100,0.000,0.199250
6.200,0.000,0.174250
6.300,0.000,0.149000
6.400,0.000,0.124000
6.500,0.000,0.100333
6.600,0.000,0.108667
6.700,0.000,0.117000
6.800,0.000,0.125333
6.900,0.000,0.133667
7.000,0.000,0.142000
7.100,0.000,0.150333
7.200,0.000,0.158667
7.300,0.000,0.167000
7.400,0.000,0.175333
7.500,0.000,0.183667
7.600,0.000,0.192000
7.700,0.000,0.199500
7.800,0.000,0.187000
7.900,0.000,0.174500
8.000,0.000,0.162000
8.100,0.000,0.149375
8.200,0.000,0.136875
8.300,0.000,0.124375
8.400,0.000,0.111875
8.500,0.000,0.101000
8.600,0.000,0.121000
8.700,0.000,0.141000
8.800,0.000,0.161000
8.900,0.000,0.181000
9.000,0.000,0.195000
9.100,0.000,0.100714
9.200,0.000,0.115000
9.300,0.000,0.129286
9.400,0.000,0.143571
9.500,0.000,0.157857
9.600,0.000,0.172143
9.700,0.000,0.186429
9.800,0.000,0.198333
9.900,0.000,0.164667
10.000,0.000,0.131333
10.100,0.000,0.100429
10.200,0.000,0.107571
10.300,0.000,0.114714
10.400,0.000,0.121857
10.500,0.000,0.129000
10.600,0.000,0.136143
10.700,0.000,0.143286
10.800,0.000,0.150429
10.900,0.000,0.157571
11.000,0.000,0.164714
11.100,0.000,0.171857
11.200,0.000,0.179000
11.300,0.000,0.186143
11.400,0.000,0.193286
11.500,0.000,0.194000
11.600,0.000,0.101500
11.700,0.000,0.126750
11.800,0.000,0.151750
11.900,0.000,0.176750
12.000,0.000,0.198600
12.100,0.000,0.178600
12.200,0.000,0.158600
12.300,0.000,0.138600
12.400,0.000,0.118600
12.500,0.000,0.114000
12.600,0.000,0.328000
12.700,0.000,0.728000
12.800,0.000,1.114000
12.900,0.000,1.314000
13.000,0.000,1.521000
13.100,0.000,1.828000
13.200,0.001,2.221000
13.300,0.001,2.528000
13.400,0.001,2.928000
13.500,0.001,3.332000
13.600,0.001,3.732000
13.700,0.001,4.132000
13.800,0.001,4.532000
13.900,0.001,4.940000
14.000,0.001,5.440000
14.100,0.002,5.940000
14.200,0.002,6.440000
14.300,0.002,6.932000
14.400,0.002,7.340000
14.500,0.002,7.832000
14.600,0.003,8.231999
14.700,0.003,8.640000
14.800,0.003,9.140000
14.900,0.003,9.640000
15.000,0.004,10.140000
15.100,0.004,10.640000
15.200,0.004,11.140000
15.300,0.005,11.636001
15.400,0.005,12.036000
15.500,0.005,12.445001
15.600,0.006,12.945001
15.700,0.006,13.445001
15.800,0.006,13.954000
15.900,0.007,14.554000
16.000,0.007,15.163000
16.100,0.008,15.863000
16.200,0.008,16.563000
16.300,0.009,17.263000
16.400,0.009,17.962999
16.500,0.010,18.654001
16.600,0.010,19.263000
16.700,0.011,19.962999
16.800,0.011,20.645000
16.900,0.012,21.145000
17.000,0.012,21.636000
17.100,0.013,22.040001
17.200,0.014,22.430000
17.300,0.014,22.730001
17.400,0.015,23.030001
17.500,0.016,23.330002
17.600,0.016,23.620001
17.700,0.017,23.830002
17.800,0.018,24.120001
17.900,0.018,24.330002
18.000,0.019,24.620001
18.100,0.020,24.820002
18.200,0.020,25.020000
18.300,0.021,25.210001
18.400,0.022,25.310001
18.500,0.022,25.389999
18.600,0.023,25.289999
18.700,0.024,25.195002
18.800,0.025,25.145000
18.900,0.025,25.067001
19.000,0.026,24.811001
19.100,0.027,24.910999
19.200,0.027,25.011000
19.300,0.028,25.122000
19.400,0.029,25.344002
19.500,0.029,25.711000
19.600,0.030,25.822001
19.700,0.031,25.994499
19.800,0.032,25.944500
19.900,0.032,25.867001
20.000,0.033,25.594500
20.100,0.034,25.544498
20.200,0.034,25.511000
20.300,0.035,25.622000
20.400,0.036,25.844002
20.500,0.037,26.233000
20.600,0.037,26.566000
20.700,0.038,27.172001
20.800,0.039,27.748001
20.900,0.040,28.172001
